abilities,artist,ancientTrait,attacks,cardmarket,convertedRetreatCost,evolvesFrom,flavorText,hp,id,images,legalities,regulationMark,name,nationalPokedexNumbers,number,rarity,resistances,retreatCost,rules,set,subtypes,supertype,tcgplayer,types,weaknesses
,Naoki Saito,,"[Attack(name='Swift', cost=['Lightning'], convertedEnergyCost=1, damage='30', text=""This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.""), Attack(name='Flash Ray', cost=['Lightning', 'Colorless', 'Colorless'], convertedEnergyCost=3, damage='70', text=""During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-28', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=15.07, lowPrice=3.0, trendPrice=13.09, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.0, reverseHoloLow=0.0, reverseHoloTrend=9.7, lowPriceExPlus=7.94, avg1=9.5, avg7=14.37, avg30=13.86, reverseHoloAvg1=4.99, reverseHoloAvg7=8.92, reverseHoloAvg30=10.11))",,,,160,g1-28,"CardImage(small='https://images.pokemontcg.io/g1/28.png', large='https://images.pokemontcg.io/g1/28_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Jolteon-EX,[135],28,Rare Holo EX,"[Resistance(type='Metal', value='-20')]",,"['Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')","['Basic', 'EX']",Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-28', updatedAt='2025/04/10', prices=TCGPrices(normal=None, holofoil=TCGPrice(low=13.78, mid=18.09, high=74.99, market=17.17, directLow=19.82), reverseHolofoil=None, firstEditionHolofoil=None, firstEditionNormal=None))",['Lightning'],"[Weakness(type='Fighting', value='×2')]"
"[Ability(name='Sneaky Bite', text=""When you play this Pokémon from your hand to evolve 1 of your Pokémon, you may put 2 damage counters on 1 of your opponent's Pokémon."", type='Ability')]",Kanako Eo,,"[Attack(name='Swoop Across', cost=['Colorless'], convertedEnergyCost=1, damage='', text=""This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)"")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-31', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.14, lowPrice=0.02, trendPrice=0.12, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.65, reverseHoloLow=0.1, reverseHoloTrend=1.2, lowPriceExPlus=0.02, avg1=0.2, avg7=0.13, avg30=0.19, reverseHoloAvg1=2.49, reverseHoloAvg7=0.87, reverseHoloAvg30=1.1))",,Zubat,"Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly.",70,g1-31,"CardImage(small='https://images.pokemontcg.io/g1/31.png', large='https://images.pokemontcg.io/g1/31_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Golbat,[42],31,Uncommon,"[Resistance(type='Fighting', value='-20')]",,,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 1'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-31', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.14, mid=0.28, high=1.81, market=0.28, directLow=0.2), holofoil=None, reverseHolofoil=TCGPrice(low=0.25, mid=0.49, high=9.99, market=0.57, directLow=0.47), firstEditionHolofoil=None, firstEditionNormal=None))",['Psychic'],"[Weakness(type='Lightning', value='×2')]"
,match,,"[Attack(name='Skill Dive', cost=['Colorless'], convertedEnergyCost=1, damage='', text=""This attack does 10 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)"")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-30', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.08, lowPrice=0.02, trendPrice=0.1, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.89, reverseHoloLow=0.1, reverseHoloTrend=0.84, lowPriceExPlus=0.02, avg1=0.1, avg7=0.09, avg30=0.07, reverseHoloAvg1=0.9, reverseHoloAvg7=0.88, reverseHoloAvg30=0.74))",1,,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from it mouth.",50,g1-30,"CardImage(small='https://images.pokemontcg.io/g1/30.png', large='https://images.pokemontcg.io/g1/30_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Zubat,[41],30,Common,"[Resistance(type='Fighting', value='-20')]",['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-30', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.04, mid=0.2, high=1.41, market=0.14, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.22, mid=0.5, high=9.99, market=0.53, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Psychic'],"[Weakness(type='Lightning', value='×2')]"
,Miki Tanaka,,"[Attack(name='Spacing Out', cost=['Colorless'], convertedEnergyCost=1, damage='', text='Flip a coin. If heads, heal 10 damage from this Pokémon.'), Attack(name='Scavenge', cost=['Psychic', 'Psychic'], convertedEnergyCost=2, damage='', text='Discard a Psychic Energy attached to this Pokémon. If you do, put an Item card from your discard pile into your hand.')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-32', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.09, lowPrice=0.02, trendPrice=0.1, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.73, reverseHoloLow=0.02, reverseHoloTrend=0.02, lowPriceExPlus=0.02, avg1=0.25, avg7=0.11, avg30=0.12, reverseHoloAvg1=1.0, reverseHoloAvg7=0.79, reverseHoloAvg30=1.48))",1,,"It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail.",50,g1-32,"CardImage(small='https://images.pokemontcg.io/g1/32.png', large='https://images.pokemontcg.io/g1/32_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Slowpoke,[79],32,Common,,['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-32', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.05, mid=0.26, high=1.0, market=0.32, directLow=0.19), holofoil=None, reverseHolofoil=TCGPrice(low=0.23, mid=0.7, high=9.99, market=0.95, directLow=0.79), firstEditionHolofoil=None, firstEditionNormal=None))",['Psychic'],"[Weakness(type='Psychic', value='×2')]"
"[Ability(name='Gothic Fear', text='When you play this Pokémon from your hand to evolve 1 of your Pokémon, you may leave both Active Pokémon Confused.', type='Ability')]",Midori Harada,,"[Attack(name='Poison Ring', cost=['Psychic', 'Colorless'], convertedEnergyCost=2, damage='', text=""Your opponent's Active Pokémon is now Poisoned. That Pokémon can't retreat during your opponent's next turn."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-34', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.22, lowPrice=0.02, trendPrice=0.29, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.64, reverseHoloLow=0.35, reverseHoloTrend=1.61, lowPriceExPlus=0.02, avg1=0.52, avg7=0.26, avg30=0.23, reverseHoloAvg1=0.05, reverseHoloAvg7=1.8, reverseHoloAvg30=1.57))",1,Gastly,It licks with its gaseous tongue to steal the victim's life force. It lurks in darkness for prey.,70,g1-34,"CardImage(small='https://images.pokemontcg.io/g1/34.png', large='https://images.pokemontcg.io/g1/34_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Haunter,[93],34,Uncommon,"[Resistance(type='Fighting', value='-20')]",['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 1'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-34', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.25, mid=0.45, high=1.0, market=0.51, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.6, mid=1.14, high=9.99, market=1.96, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Psychic'],"[Weakness(type='Darkness', value='×2')]"
,kodama,,"[Attack(name='Sleep Poison', cost=['Psychic'], convertedEnergyCost=1, damage='', text=""Flip a coin. If heads, your opponent's Active Pokémon is now Asleep and Poisoned."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-33', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.12, lowPrice=0.02, trendPrice=0.14, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.0, reverseHoloLow=0.2, reverseHoloTrend=1.0, lowPriceExPlus=0.02, avg1=0.05, avg7=0.17, avg30=0.12, reverseHoloAvg1=1.4, reverseHoloAvg7=0.94, reverseHoloAvg30=1.1))",1,,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.",50,g1-33,"CardImage(small='https://images.pokemontcg.io/g1/33.png', large='https://images.pokemontcg.io/g1/33_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Gastly,[92],33,Common,"[Resistance(type='Fighting', value='-20')]",['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-33', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.1, mid=0.26, high=3.99, market=0.27, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.45, mid=1.5, high=9.04, market=1.99, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Psychic'],"[Weakness(type='Darkness', value='×2')]"
,Saya Tsuruta,,"[Attack(name='Sinister Fog', cost=['Psychic'], convertedEnergyCost=1, damage='', text=""Your opponent's Active Pokémon is now Poisoned. Put 1 damage counter on each of your opponent's Benched Pokémon.""), Attack(name='Creep Show', cost=['Psychic', 'Colorless'], convertedEnergyCost=2, damage='', text=""If your opponent's Active Pokémon has 3 or more damage counters on it, that Pokémon is Knocked Out."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-35', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=6.03, lowPrice=2.98, trendPrice=5.76, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=9.62, reverseHoloLow=5.0, reverseHoloTrend=8.27, lowPriceExPlus=5.0, avg1=4.0, avg7=5.91, avg30=7.83, reverseHoloAvg1=10.0, reverseHoloAvg7=9.62, reverseHoloAvg30=10.48))",,Haunter,"Hiding in people's shadows at night, it absorbs their heat. The chill it causes makes the victims shake.",130,g1-35,"CardImage(small='https://images.pokemontcg.io/g1/35.png', large='https://images.pokemontcg.io/g1/35_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Gengar,[94],35,Rare Holo,"[Resistance(type='Fighting', value='-20')]",,,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 2'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-35', updatedAt='2025/04/10', prices=TCGPrices(normal=None, holofoil=TCGPrice(low=7.0, mid=10.03, high=19.99, market=9.57, directLow=None), reverseHolofoil=TCGPrice(low=9.0, mid=13.65, high=17.0, market=9.11, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Psychic'],"[Weakness(type='Darkness', value='×2')]"
"[Ability(name='Victory Kiss', text='Once during your turn (before your attack), if this Pokémon is on your Bench, you may heal 10 damage from your Active Pokémon.', type='Ability')]",Naoki Saito,,"[Attack(name='Hug', cost=['Psychic', 'Colorless', 'Colorless'], convertedEnergyCost=3, damage='30', text=""The Defending Pokémon can't retreat during your opponent's next turn."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-36', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.28, lowPrice=0.05, trendPrice=0.3, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.57, reverseHoloLow=0.05, reverseHoloTrend=0.67, lowPriceExPlus=0.05, avg1=0.04, avg7=0.32, avg30=0.27, reverseHoloAvg1=0.5, reverseHoloAvg7=0.6, reverseHoloAvg30=0.91))",1,,It wiggles its hips as it walks. It can cause people to dance in unison with it.,70,g1-36,"CardImage(small='https://images.pokemontcg.io/g1/36.png', large='https://images.pokemontcg.io/g1/36_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Jynx,[124],36,Rare,,['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-36', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.12, mid=0.3, high=2.93, market=0.29, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.28, mid=0.58, high=9.99, market=0.56, directLow=0.66), firstEditionHolofoil=None, firstEditionNormal=None))",['Psychic'],"[Weakness(type='Psychic', value='×2')]"
"[Ability(name='Shadow Ear', text=""Once during your turn (before your attack), if this Pokémon is your Active Pokémon, you may move 1 damage counter from 1 of your Pokémon to 1 of your opponent's Pokémon."", type='Ability')]",Toyste Beach,,"[Attack(name='Mind Shock', cost=['Psychic', 'Colorless'], convertedEnergyCost=2, damage='60', text=""This attack's damage isn't affected by Weakness or Resistance."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-37', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=2.9, lowPrice=1.0, trendPrice=2.37, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.0, reverseHoloLow=0.0, reverseHoloTrend=3.08, lowPriceExPlus=1.5, avg1=2.98, avg7=2.65, avg30=2.69, reverseHoloAvg1=1.7, reverseHoloAvg7=2.52, reverseHoloAvg30=2.82))",1,,,160,g1-37,"CardImage(small='https://images.pokemontcg.io/g1/37.png', large='https://images.pokemontcg.io/g1/37_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Meowstic-EX,[678],37,Rare Holo EX,,['Colorless'],"['Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')","['Basic', 'EX']",Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-37', updatedAt='2025/04/10', prices=TCGPrices(normal=None, holofoil=TCGPrice(low=1.75, mid=2.65, high=9.99, market=2.68, directLow=2.66), reverseHolofoil=None, firstEditionHolofoil=None, firstEditionNormal=None))",['Psychic'],"[Weakness(type='Psychic', value='×2')]"
,Tomokazu Komiya,,"[Attack(name='Mine', cost=['Fighting'], convertedEnergyCost=1, damage='', text=""Look at the top card of your opponent's deck. Then, you may have your opponent shuffle his or her deck.""), Attack(name='Mud-Slap', cost=['Fighting', 'Colorless'], convertedEnergyCost=2, damage='20', text='')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-38', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.16, lowPrice=0.02, trendPrice=0.15, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.4, reverseHoloLow=0.05, reverseHoloTrend=1.44, lowPriceExPlus=0.02, avg1=0.1, avg7=0.12, avg30=0.17, reverseHoloAvg1=0.5, reverseHoloAvg7=1.4, reverseHoloAvg30=0.99))",1,,Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.,50,g1-38,"CardImage(small='https://images.pokemontcg.io/g1/38.png', large='https://images.pokemontcg.io/g1/38_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Diglett,[50],38,Common,,['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-38', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.09, mid=0.25, high=1.43, market=0.27, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.24, mid=0.49, high=9.99, market=0.6, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Fighting'],"[Weakness(type='Grass', value='×2')]"
,Toyste Beach,,"[Attack(name='Earthquake', cost=['Fighting'], convertedEnergyCost=1, damage='60', text=""This attack does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""), Attack(name='Rock Tumble', cost=['Fighting', 'Colorless', 'Colorless'], convertedEnergyCost=3, damage='60', text=""This attack's damage isn't affected by Resistance."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-39', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.36, lowPrice=0.02, trendPrice=0.35, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.82, reverseHoloLow=0.2, reverseHoloTrend=0.88, lowPriceExPlus=0.02, avg1=0.02, avg7=0.26, avg30=0.4, reverseHoloAvg1=0.05, reverseHoloAvg7=0.93, reverseHoloAvg30=0.69))",1,Diglett,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.",90,g1-39,"CardImage(small='https://images.pokemontcg.io/g1/39.png', large='https://images.pokemontcg.io/g1/39_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Dugtrio,[51],39,Rare,,['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 1'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-39', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.08, mid=0.29, high=1.49, market=0.29, directLow=0.25), holofoil=None, reverseHolofoil=TCGPrice(low=0.2, mid=0.47, high=9.99, market=0.47, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Fighting'],"[Weakness(type='Grass', value='×2')]"
,Mina Nakai,,"[Attack(name='Knuckle Punch', cost=['Fighting'], convertedEnergyCost=1, damage='10', text='')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-40', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.09, lowPrice=0.02, trendPrice=0.11, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.5, reverseHoloLow=0.19, reverseHoloTrend=0.34, lowPriceExPlus=0.02, avg1=0.1, avg7=0.09, avg30=0.1, reverseHoloAvg1=0.04, reverseHoloAvg7=0.53, reverseHoloAvg30=0.64))",2,,It hefts a Graveler repeatedly to strengthen its entire body. It uses every type of martial arts.,70,g1-40,"CardImage(small='https://images.pokemontcg.io/g1/40.png', large='https://images.pokemontcg.io/g1/40_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Machop,[66],40,Common,,"['Colorless', 'Colorless']",,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-40', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.1, mid=0.2, high=1.0, market=0.16, directLow=0.15), holofoil=None, reverseHolofoil=TCGPrice(low=0.28, mid=0.4, high=2.0, market=0.41, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Fighting'],"[Weakness(type='Psychic', value='×2')]"
,Mitsuhiro Arita,,"[Attack(name='Beatdown', cost=['Fighting', 'Fighting'], convertedEnergyCost=2, damage='40', text='')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-41', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.14, lowPrice=0.02, trendPrice=0.16, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.25, reverseHoloLow=0.12, reverseHoloTrend=0.83, lowPriceExPlus=0.02, avg1=0.08, avg7=0.12, avg30=0.16, reverseHoloAvg1=0.25, reverseHoloAvg7=0.84, reverseHoloAvg30=0.89))",2,Machop,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",90,g1-41,"CardImage(small='https://images.pokemontcg.io/g1/41.png', large='https://images.pokemontcg.io/g1/41_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Machoke,[67],41,Uncommon,,"['Colorless', 'Colorless']",,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 1'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-41', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.08, mid=0.25, high=1.0, market=0.22, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.12, mid=0.45, high=9.99, market=0.43, directLow=0.35), firstEditionHolofoil=None, firstEditionNormal=None))",['Fighting'],"[Weakness(type='Psychic', value='×2')]"
"[Ability(name='Fighting Fury', text=""Each of your Fighting Pokémon's attacks do 20 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance)."", type='Ability')]",PLANETA,,"[Attack(name='Machamp Crush', cost=['Fighting', 'Fighting', 'Fighting'], convertedEnergyCost=3, damage='80', text=""During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 40 (before applying Weakness and Resistance)."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-42', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=1.32, lowPrice=0.25, trendPrice=1.6, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=3.59, reverseHoloLow=0.98, reverseHoloTrend=4.17, lowPriceExPlus=0.5, avg1=2.9, avg7=1.52, avg30=1.94, reverseHoloAvg1=9.99, reverseHoloAvg7=3.41, reverseHoloAvg30=3.25))",2,Machoke,"Its four ruggedly developed arms can launch a flurry of 1,000 punches in just two seconds.",150,g1-42,"CardImage(small='https://images.pokemontcg.io/g1/42.png', large='https://images.pokemontcg.io/g1/42_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Machamp,[68],42,Rare Holo,,"['Colorless', 'Colorless']",,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 2'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-42', updatedAt='2025/04/10', prices=TCGPrices(normal=None, holofoil=TCGPrice(low=0.26, mid=0.89, high=3.0, market=0.91, directLow=None), reverseHolofoil=TCGPrice(low=0.89, mid=1.61, high=9.99, market=1.62, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Fighting'],"[Weakness(type='Psychic', value='×2')]"
